選課號碼(註1),科目名稱,全/半年,學分,上課 時間,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
1701,大學國文 College Chinese,全,2,112,Y304,趙家琦,通識中心,40,39,1,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1702,大學國文 College Chinese,全,2,112,Y312,林文彬,通識中心,40,39,1,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1703,大學國文 College Chinese,全,2,112,Y308,周玟觀,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1704,大學國文 College Chinese,全,2,112,Y301,石美玲,通識中心,40,39,1,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1705,大學國文 College Chinese,全,2,112,Y303,陳昌遠,通識中心,40,39,1,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1706,大學國文 College Chinese,全,2,112,Y204,王正良,通識中心,40,26,14,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1707,大學國文 College Chinese,全,2,112,Y202,黃東陽,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1708,大學國文 College Chinese,全,2,112,Y203,余佳韻,通識中心,40,39,1,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1709,大學國文 College Chinese,全,2,112,Y207,黃慧鳳,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1710,大學國文 College Chinese,全,2,112,Y206,蕭振聲,通識中心,40,38,2,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1711,大學國文 College Chinese,全,2,112,Y208,陳鍾琇,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1713,大學國文 College Chinese,全,2,189,Y303,黃慧鳳,通識中心,40,40,0,中文,限園藝、食生、動科、歷史、植病、土環、國農學程、生物科技學程選修
1714,大學國文 College Chinese,全,2,189,Y206,解昆樺,通識中心,40,40,0,中文,限園藝、食生、動科、歷史、植病、土環、國農學程、生物科技學程選修
1715,大學國文 College Chinese,全,2,189,Y207,黃東陽,通識中心,40,39,1,中文,限園藝、食生、動科、歷史、植病、土環、國農學程、生物科技學程選修
1716,大學國文 College Chinese,全,2,189,Y208,王正良,通識中心,40,40,0,中文,限園藝、食生、動科、歷史、植病、土環、國農學程、生物科技學程選修
1717,大學國文 College Chinese,全,2,189,Y211,蕭涵珍,通識中心,40,38,2,中文,限園藝、食生、動科、歷史、植病、土環、國農學程、生物科技學程選修
1718,大學國文 College Chinese,全,2,189,Y301,趙家琦,通識中心,40,39,1,中文,限園藝、食生、動科、歷史、植病、土環、國農學程、生物科技學程選修
1719,大學國文 College Chinese,全,2,189,Y302,余佳韻,通識中心,40,40,0,中文,限園藝、食生、動科、歷史、植病、土環、國農學程、生物科技學程選修
1720,大學國文 College Chinese,全,2,189,Y307,陳鍾琇,通識中心,40,39,1,中文,限園藝、食生、動科、歷史、植病、土環、國農學程、生物科技學程選修
1722,大學國文 College Chinese,全,2,212,Y307,張俐盈,通識中心,40,40,0,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1723,大學國文 College Chinese,全,2,212,Y312,林文彬,通識中心,40,40,0,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1724,大學國文 College Chinese,全,2,212,Y208,丘彥遂,通識中心,40,40,0,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1725,大學國文 College Chinese,全,2,212,Y305,陳建源,通識中心,40,39,1,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1726,大學國文 College Chinese,全,2,212,Y303,陳鍾琇,通識中心,40,40,0,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1727,大學國文 College Chinese,全,2,212,Y204,解昆樺,通識中心,40,39,1,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1728,大學國文 College Chinese,全,2,212,Y202,蕭振聲,通識中心,40,39,1,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1729,大學國文 College Chinese,全,2,212,Y203,黃慧鳳,通識中心,40,32,8,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1730,大學國文 College Chinese,全,2,212,Y207,蕭涵珍,通識中心,40,40,0,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1732,大學國文 College Chinese,全,2,412,Y207,羅秀美,通識中心,40,38,2,中文,限外文、應經、生機、化工、會計、電機AB選修
